country,co2,
China,10667.887,
United States,4712.771,
EU-27,2598.575,
India,2441.792,
Russia,1577.136,
Japan,1030.775,
Iran,745.035,
Germany,644.31,
Saudi Arabia,625.508,
South Korea,597.605,
Indonesia,589.5,
Canada,535.823,
Brazil,467.384,
South Africa,451.957,
Oceania,444.397,
Turkey,392.794,
Australia,391.892,
Mexico,356.968,
United Kingdom,329.579,
Italy,303.815,
Poland,299.593,
Kazakhstan,291.336,
France,276.634,
Taiwan,273.175,
Malaysia,272.607,
Thailand,257.766,
Vietnam,254.303,
Pakistan,234.755,
Ukraine,213.909,
Egypt,213.457,
Iraq,210.829,
Spain,208.915,
Argentina,156.978,
Algeria,154.995,
United Arab Emirates,150.268,
Netherlands,138.1,
Philippines,136.018,
Nigeria,125.463,
Uzbekistan,112.784,
Qatar,106.655,
Bangladesh,92.842,
Colombia,89.105,
Kuwait,88.935,
Mongolia,88.442,
Czechia,87.975,
Venezuela,84.609,
Belgium,83.749,
Chile,81.171,
Turkmenistan,75.338,
Romania,71.475,
Morocco,64.536,
Oman,62.163,
Austria,60.635,
Belarus,57.445,
Israel,56.351,
Greece,52.235,
Libya,50.721,
Hungary,48.275,
Singapore,45.504,
Peru,44.706,
Serbia,43.135,
Norway,41.283,
Portugal,40.388,
Finland,39.288,
Sweden,38.635,
Azerbaijan,37.72,
Bulgaria,37.444,
Myanmar,36.326,
Trinidad and Tobago,35.509,
Bahrain,34.96,
Laos,33.847,
New Zealand,33.475,
Ireland,33.349,
Switzerland,32.298,
Hong Kong,31.239,
Ecuador,30.932,
Slovakia,30.73,
Syria,30.532,
North Korea,29.311,
Tunisia,28.127,
Dominican Republic,27.769,
Denmark,26.195,
Lebanon,25.969,
Jordan,25.487,
Angola,22.198,
Bosnia and Herzegovina,21.418,
Sri Lanka,21.106,
Bolivia,20.7,
Cuba,20.152,
Guatemala,18.938,
Sudan,18.859,
Croatia,16.982,
Nepal,16.958,
Kenya,16.146,
Ghana,16.001,
Cambodia,15.326,
Ethiopia,14.665,
Lithuania,13.799,
Slovenia,12.563,
Afghanistan,12.16,
Kyrgyzstan,11.508,
Tanzania,10.939,
Panama,10.78,
Zimbabwe,10.531,
Estonia,10.452,
Senegal,10.451,
Equatorial Guinea,10.265,
Brunei,10.158,
Cote d'Ivoire,10.071,
Georgia,9.968,
Yemen,9.768,
Honduras,9.66,
Tajikistan,9.448,
New Caledonia,8.693,
Luxembourg,8.175,
Costa Rica,7.907,
Kosovo,7.89,
Paraguay,7.57,
Jamaica,7.429,
North Macedonia,7.147,
Cameroon,6.889,
Latvia,6.773,
Benin,6.703,
Papua New Guinea,6.652,
Zambia,6.573,
Mozambique,6.571,
Botswana,6.519,
Cyprus,6.496,
El Salvador,6.124,
Armenia,5.89,
Uruguay,5.84,
Moldova,5.147,
Nicaragua,5.074,
Uganda,4.892,
Reunion,4.588,
Albania,4.535,
Gabon,4.298,
Mauritius,3.979,
Burkina Faso,3.97,
Namibia,3.877,
Madagascar,3.68,
Guinea,3.394,
Mali,3.39,
Mauritania,3.377,
Curacao,3.335,
Congo,3.117,
Iceland,2.936,
Haiti,2.92,
Palestine,2.899,
Guadeloupe,2.562,
Democratic Republic of Congo,2.477,
Martinique,2.348,
Bahamas,2.338,
Montenegro,2.31,
Suriname,2.224,
Guyana,2.213,
Togo,2.192,
Lesotho,2.183,
Bhutan,1.925,
Maldives,1.796,
Niger,1.69,
Malta,1.595,
Malawi,1.395,
Fiji,1.393,
Macao,1.263,
South Sudan,1.179,
Barbados,1.087,
Rwanda,1.033,
Liberia,1.009,
Eswatini,0.956,
Chad,0.912,
Sierra Leone,0.877,
French Polynesia,0.828,
Aruba,0.753,
French Guiana,0.728,
Eritrea,0.722,
Faeroe Islands,0.684,
Bermuda,0.624,
Sint Maarten (Dutch part),0.623,
Burundi,0.602,
Belize,0.583,
Somalia,0.562,
Cape Verde,0.55,
Timor,0.526,
Greenland,0.514,
Gambia,0.5,
Seychelles,0.491,
Andorra,0.466,
Saint Lucia,0.44,
Antigua and Barbuda,0.43,
Djibouti,0.351,
Mayotte,0.306,
Bonaire Sint Eustatius and Saba,0.301,
Solomon Islands,0.299,
Grenada,0.295,
Guinea-Bissau,0.287,
Comoros,0.258,
Samoa,0.246,
Palau,0.219,
Saint Kitts and Nevis,0.212,
Saint Vincent and the Grenadines,0.209,
Turks and Caicos Islands,0.203,
Central African Republic,0.188,
Vanuatu,0.182,
Marshall Islands,0.151,
Micronesia (country),0.148,
Tonga,0.144,
Liechtenstein,0.141,
British Virgin Islands,0.139,
Dominica,0.139,
Anguilla,0.123,
Sao Tome and Principe,0.113,
Cook Islands,0.079,
Kiribati,0.068,
Nauru,0.057,
Saint Pierre and Miquelon,0.051,
Wallis and Futuna,0.026,
Montserrat,0.025,
Niue,0.011,
Saint Helena,0.009,
Tuvalu,0.008,
