year,co2
1750,9.351
1751,9.351
1752,9.354
1753,9.354
1754,9.358
1755,9.362
1756,10.006
1757,10.01
1758,10.014
1759,10.017
1760,10.017
1761,10.974
1762,10.977
1763,10.981
1764,10.985
1765,10.988
1766,12.26
1767,12.263
1768,12.267
1769,12.271
1770,12.274
1771,13.612
1772,13.615
1773,13.619
1774,13.623
1775,13.626
1776,15.037
1777,15.041
1778,15.044
1779,15.048
1780,15.055
1781,16.843
1782,16.847
1783,16.854
1784,16.858
1785,16.869
1786,19.152
1787,19.159
1788,19.163
1789,19.17
1790,19.177
1791,21.42
1792,21.896
1793,21.914
1794,21.881
1795,21.892
1796,22.951
1797,24.094
1798,25.095
1799,26.428
1800,28.092
1801,27.96
1802,36.783
1803,31.488
1804,34.31
1805,33.419
1806,35.046
1807,36.874
1808,35.064
1809,35.09
1810,37.38
1811,39.582
1812,41.007
1813,41.22
1814,42.129
1815,43.488
1816,47.665
1817,49.431
1818,49.644
1819,49.948
1820,50.688
1821,51.435
1822,53.465
1823,56.55
1824,58.525
1825,60.756
1826,61.42
1827,65.915
1828,66.637
1829,66.395
1830,89.123
1831,84.528
1832,85.111
1833,86.807
1834,88.486
1835,90.446
1836,104.776
1837,104.691
1838,108.044
1839,111.613
1840,118.93
1841,122.619
1842,129.504
1843,132.853
1844,141.423
1845,155.211
1846,157.794
1847,172.402
1848,173.816
1849,183.511
1850,196.896
1851,198.805
1852,207.551
1853,217.209
1854,255.139
1855,260.166
1856,277.292
1857,279.889
1858,284.172
1859,301.313
1860,330.642
1861,347.735
1862,354.057
1863,377.86
1864,407.091
1865,432.308
1866,445.971
1867,477.815
1868,490.752
1869,521.131
1870,532.537
1871,566.143
1872,626.372
1873,665.419
1874,622.997
1875,675.799
1876,685.553
1877,699.099
1878,704.382
1879,754.87
1880,853.707
1881,882.407
1882,931.925
1883,991.036
1884,1002.178
1885,1009.675
1886,1025.479
1887,1076.762
1888,1192.276
1889,1191.804
1890,1298.464
1891,1358.88
1892,1370.095
1893,1353.675
1894,1400.865
1895,1485.281
1896,1533.711
1897,1606.311
1898,1694.277
1899,1850.906
1900,1952.225
1901,2016.761
1902,2067.798
1903,2256.077
1904,2281.858
1905,2429.631
1906,2551.87
1907,2885.281
1908,2776.432
1909,2887.083
1910,3027.589
1911,3082.462
1912,3228.332
1913,3492.411
1914,3168.341
1915,3125.089
1916,3373.154
1917,3527.726
1918,3479.186
1919,3014.874
1920,3507.598
1921,3076.038
1922,3226.445
1923,3661.081
1924,3672.399
1925,3712.868
1926,3645.19
1927,3981.433
1928,3962.553
1929,4255.151
1930,3923.058
1931,3505.272
1932,3159.133
1933,3326.454
1934,3617.658
1935,3796.088
1936,4170.574
1937,4458.901
1938,4195.243
1939,4438.144
1940,4849.927
1941,4959.186
1942,4939.725
1943,5023.251
1944,5105.437
1945,4244.738
1946,4633.477
1947,5130.185
1948,5401.115
1949,5243.103
1950,6003.238
1951,6379.756
1952,6465.694
1953,6647.728
1954,6789.936
1955,7443.207
1956,7924.211
1957,8185.524
1958,8417.6
1959,8856.189
1960,9386.934
1961,9417.463
1962,9750.057
1963,10271.524
1964,10828.858
1965,11317.233
1966,11865.861
1967,12243.046
1968,12909.913
1969,13766.571
1970,14897.567
1971,15498.267
1972,16221.152
1973,17078.792
1974,17009.594
1975,17046.497
1976,17983.973
1977,18494.531
1978,19067.767
1979,19610.018
1980,19492.614
1981,19026.91
1982,18875.76
1983,18998.032
1984,19656.717
1985,20317.484
1986,20619.624
1987,21266.195
1988,22101.399
1989,22406.833
1990,22749.574
1991,23238.102
1992,22569.624
1993,22803.495
1994,22964.583
1995,23453.944
1996,24154.961
1997,24300.55
1998,24206.271
1999,24518.962
2000,25234.207
2001,25451.054
2002,26039.191
2003,27366.723
2004,28627.533
2005,29602.777
2006,30583.53
2007,31493.742
2008,32069.444
2009,31607.042
2010,33343.3
2011,34468.451
2012,34974.075
2013,35283.025
2014,35534.443
2015,35496.406
2016,35452.459
2017,35925.738
2018,36646.14
2019,36702.503
2020,34807.259
